city;latitudex1000;longitudex1000;admin;city_or_minor;population
Gediksaray;40445;35626;Amasya;minor;0
Gediz;38994;29391;Kütahya;minor;0
Gelembe;39179;27848;Manisa;minor;0
Gelendost;38121;31015;Isparta;minor;0
Gemerek;39183;36072;Sivas;minor;0
Gemlik;40431;29160;Bursa;minor;0
Genç;38748;40553;Bingöl;minor;0
Gencek;37450;31546;Konya;minor;0
Gercüş;37562;41378;Batman;minor;0
Gerede;40801;32197;Bolu;minor;0
Gerger;38028;39034;Adıyaman;minor;0
Geriş;36963;31733;Antalya;minor;0
Germencik;37871;27603;Aydın;minor;0
Gerze;41804;35201;Sinop;minor;0
Gesi;38792;35659;Kayseri;minor;0
Gevaş;38292;43102;Van;minor;0
Geyikli;39805;26208;Çanakkale;minor;0
Geyikpınar;38318;41821;Bitlis;minor;0
Geyve;40508;30293;Sakarya;minor;0
Giresun;40917;38387;Giresun;admin;98864
Girmeli;37111;41420;Mardin;minor;0
Göbel;40020;28146;Balıkesir;minor;0
Göçbeyli;39223;27404;İzmir;minor;0
Gökçeada;40201;25909;Çanakkale;minor;0
Gökçebey;41306;32142;Zonguldak;minor;0
Gökçedağ;39558;28919;Balıkesir;minor;0
Gökçekent;40286;38118;Sivas;minor;0
Gökçeli;40583;36733;Tokat;minor;0
Gökçen;38114;27871;İzmir;minor;0
Gökçeören;38575;28489;Manisa;minor;0
Gökçesu;40894;31960;Bolu;minor;0
Gökçeyazı;39627;27631;Balıkesir;minor;0
Gökdere;38743;40208;Elazığ;minor;0
Gökdere;40473;36752;Tokat;minor;0
Gökoğlan;39546;41304;Erzurum;minor;0
Göksu;39489;42151;Erzurum;minor;0
Göksun;38021;36497;Kahramanmaraş;minor;0
Göktepe;36627;32623;Karaman;minor;0
Göktepe;37419;28559;Muğla;minor;0
Gölbaşı;39790;32809;Ankara;minor;0
Gölbaşı;37784;37637;Adıyaman;minor;0
Gölcük;37481;39047;Şanlıurfa;minor;0
Gölcük;38231;34777;Niğde;minor;0
Gölcük;39313;27983;Balıkesir;minor;0
Gölcük;40715;29818;Kocaeli;minor;0
Göldüzü;38813;43019;Bitlis;minor;0
Göle;40787;42606;Ardahan;minor;0
Gölhisar;37146;29509;Burdur;minor;0
Gölköy;40687;37615;Ordu;minor;0
Göllü;39450;34300;Kırşehir;minor;0
Gölmarmara;38714;27914;Manisa;minor;0
Gölören;37849;33860;Konya;minor;0
Gölova;40062;38607;Sivas;minor;0
Gölova;36799;30039;Antalya;minor;0
Gölpazarı;40285;30317;Bilecik;minor;0
Gölyaka;40777;30996;Düzce;minor;0
Gömeç;39390;26841;Balıkesir;minor;0
Gönen;40105;27654;Balıkesir;minor;0
Gönen;37956;30511;Isparta;minor;0
Gördes;38933;28289;Manisa;minor;0
Görele;41031;39003;Giresun;minor;0
Görükle;40231;28840;Bursa;minor;0
Göynücek;40399;35525;Amasya;minor;0
Göynük;39139;40874;Bingöl;minor;0
Göynük;40400;30788;Bolu;minor;0
Gözeli;38425;39057;Elazığ;minor;0
Gözne;36995;34573;Mersin;minor;0
Güce;40893;38798;Giresun;minor;0
Güçlükonak;37470;41906;Şırnak;minor;0
Gücük;38194;37481;Kahramanmaraş;minor;0
Güdül;40210;32243;Ankara;minor;0
Gülağaç;38396;34346;Aksaray;minor;0
Güllük;37240;27600;Muğla;minor;0
Gülnar;36341;33399;Mersin;minor;0
Gülpınar;39533;26121;Çanakkale;minor;0
Gülşehir;38746;34625;Nevşehir;minor;0
Gülyalı;40962;38049;Ordu;minor;0
Gümüş;40840;35172;Amasya;minor;0
Gümüşakar;39794;38673;Erzincan;minor;0
Gümüşçay;40282;27282;Çanakkale;minor;0
Gümüşhacıköy;40873;35215;Amasya;minor;0
Gümüşhane;40460;39472;Gümüşhane;admin;32250
Gümüşkent;38826;34532;Nevşehir;minor;0
Gümüşova;40847;30941;Düzce;minor;0
Gümüşsu;38239;29987;Denizli;minor;0
Gündoğdu;40264;27093;Çanakkale;minor;0
Gündoğdu;41053;40607;Rize;minor;0
Gündoğmuş;36813;32000;Antalya;minor;0
Güneşli;38903;35627;Kayseri;minor;0
Güney;38154;29068;Denizli;minor;0
Güneyce;40821;40470;Rize;minor;0
Güneysınır;37269;32729;Konya;minor;0
Güneysu;40981;40605;Rize;minor;0
Günyüzü;39383;31810;Eskişehir;minor;0
Güre;38651;29167;Uşak;minor;0
Gürgentepe;40786;37590;Ordu;minor;0
Güroymak;38576;42016;Bitlis;minor;0
Gürpınar;38324;43410;Van;minor;0
Gürsu;40219;29195;Bursa;minor;0
Gürün;38722;37271;Sivas;minor;0
Güvem;40591;32661;Ankara;minor;0
Güvenç;36685;36423;Hatay;minor;0
Güzelbağ;36734;31898;Antalya;minor;0
Güzelkent;41948;34395;Sinop;minor;0
Güzeloluk;36794;34083;Mersin;minor;0
Güzelsu;36895;31856;Antalya;minor;0
Güzelsu;38310;43799;Van;minor;0
Güzelyurt;38277;34372;Aksaray;minor;0
Haberli;37305;41618;Mardin;minor;0
Hacıbektaş;38941;34558;Nevşehir;minor;0
Hacıhamza;41074;34449;Çorum;minor;0
Hacılar;38646;35449;Kayseri;minor;0
Hadim;36988;32457;Konya;minor;0
Hadımköy;41156;28618;İstanbul;minor;0
Hafik;39856;37386;Sivas;minor;0
Hakkari;37574;43741;Hakkâri;admin;77699
Halfeti;37245;37869;Şanlıurfa;minor;0
Halilçavuş;39247;41793;Erzurum;minor;0
Halitpaşa;38685;27678;Manisa;minor;0
Halkapınar;37434;34187;Konya;minor;0
Hamamözü;40785;35026;Amasya;minor;0
Hamdibey;39849;27248;Çanakkale;minor;0
Hamidiye;41151;26664;Edirne;minor;0
Hamur;39606;42985;Ağrı;minor;0
Hamzalı;38342;41163;Diyarbakır;minor;0
Han;39159;30861;Eskişehir;minor;0
Hanak;41233;42840;Ardahan;minor;0
Hani;38407;40386;Diyarbakır;minor;0
Hankendi;38569;39057;Elazığ;minor;0
Hanönü;41627;34467;Kastamonu;minor;0
Harbiye;36137;36133;Hatay;minor;0
Harmancık;39676;29155;Bursa;minor;0
Harmanlı;37838;37744;Adıyaman;minor;0
Harput;38704;39242;Elazığ;minor;0
Harran;36860;39031;Şanlıurfa;minor;0
Hasanbeyli;37128;36546;Osmaniye;minor;0
Hasançelebi;38951;37881;Malatya;minor;0
Hasankeyf;37706;41405;Batman;minor;0
Hasayaz;40241;33328;Ankara;minor;0
Hasbek;39549;35548;Yozgat;minor;0
Hasköy;38682;41679;Muş;minor;0
Hasköy;40991;42884;Ardahan;minor;0
Hasköy;41638;26857;Edirne;minor;0
Hassa;36799;36518;Hatay;minor;0
Hatay;36207;36157;Hatay;admin;305564
Hatip;37754;32422;Konya;minor;0
Hatunsaray;37588;32348;Konya;minor;0
Havran;39558;27098;Balıkesir;minor;0
Havsa;41549;26822;Edirne;minor;0
Havza;40971;35662;Samsun;minor;0
Haydarlı;38260;30386;Afyonkarahisar;minor;0
Haymana;39432;32497;Ankara;minor;0
Hayrabolu;41213;27107;Tekirdağ;minor;0
Hayrat;40885;40365;Trabzon;minor;0
Hazar;38388;39424;Elazığ;minor;0
Hazro;38249;40771;Diyarbakır;minor;0
Hekimdağ;39909;30565;Eskişehir;minor;0
Hekimhan;38816;37929;Malatya;minor;0
Hemşin;41048;40898;Rize;minor;0
Hendek;40799;30748;Sakarya;minor;0
Hereke;40786;29615;Kocaeli;minor;0
Hilvan;37587;38955;Şanlıurfa;minor;0
Himmetdede;38910;35096;Kayseri;minor;0
Hisarcık;39251;29231;Kütahya;minor;0
Hizan;38225;42418;Bitlis;minor;0
Hıdırbaba;38767;38977;Elazığ;minor;0
Hıdırbey;36208;36128;Hatay;minor;0
Hınıs;39358;41693;Erzurum;minor;0
Hocalar;38578;29968;Afyonkarahisar;minor;0
Honaz;37757;29270;Denizli;minor;0
Hopa;41396;41422;Artvin;minor;0
Horasan;40039;42164;Erzurum;minor;0
Horsunlu;37914;28592;Aydın;minor;0
Hotamış;37640;33319;Konya;minor;0
Hozat;39100;39208;Tunceli;minor;0
Hüyük;37954;31596;Konya;minor;0
İbradı;37097;31599;Antalya;minor;0
İbriktepe;41010;26503;Edirne;minor;0
İçme;38613;39551;Elazığ;minor;0
İdil;37335;41889;Şırnak;minor;0
İğdir;40266;35626;Tokat;minor;0
İğdir;41226;33137;Kastamonu;minor;0
Iğdır;39924;44045;Iğdır;admin;29062
İğneada;41874;27984;Kırklareli;minor;0
İhsangazi;41204;33555;Kastamonu;minor;0
İhsaniye;39029;30416;Afyonkarahisar;minor;0
İkizce;41058;37080;Ordu;minor;0
İkizce;39595;32661;Ankara;minor;0
İkizdere;40775;40552;Rize;minor;0
İkizören;40688;33883;Çankırı;minor;0
Ilgaz;40925;33626;Çankırı;minor;0
Ilgın;38279;31914;Konya;minor;0
İliç;39451;38558;Erzincan;minor;0
Ilıca;39876;27776;Balıkesir;minor;0
Ilıca;39947;41095;Erzurum;minor;0
Ilıcalar;38980;40674;Bingöl;minor;0
İmamoğlu;37265;35657;Adana;minor;0
İmranlı;39875;38114;Sivas;minor;0
İncesu;38622;35183;Kayseri;minor;0
İncirliova;37852;27724;Aydın;minor;0
İnebolu;41975;33761;Kastamonu;minor;0
İnece;41677;27068;Kırklareli;minor;0
İnecik;40935;27281;Tekirdağ;minor;0
İnegöl;40078;29513;Bursa;minor;0
İnhisar;40049;30385;Bilecik;minor;0
İnönü;39815;30145;Eskişehir;minor;0
İntepe;40013;26333;Çanakkale;minor;0
İpsala;40921;26383;Edirne;minor;0
İscehisar;38862;30750;Afyonkarahisar;minor;0
İshaklı;38200;30013;Denizli;minor;0
İskenderun;36587;36173;Hatay;minor;0
İskilip;40735;34474;Çorum;minor;0
İslahiye;37025;36631;Gaziantep;minor;0
Isparta;37764;30552;Isparta;admin;172334
İspir;40480;40994;Erzurum;minor;0
Istanbul;41011;28958;İstanbul;admin;10061000
İvrindi;39584;27486;Balıkesir;minor;0
İyidere;41012;40362;Rize;minor;0
İzmir;38413;27138;İzmir;admin;2587000
İznik;40429;29721;Bursa;minor;0
Kabadüz;40861;37885;Ordu;minor;0
Kabahaydar;37400;39083;Şanlıurfa;minor;0
Kabahaydar;37313;39010;Şanlıurfa;minor;0
Kabalı;41852;35062;Sinop;minor;0
Kabataş;40750;37450;Ordu;minor;0
Kadirli;37374;36096;Osmaniye;minor;0
Kadınhanı;38240;32211;Konya;minor;0
Kadışehri;39996;35792;Yozgat;minor;0
Kağızman;40157;43134;Kars;minor;0
Kağızman;40139;43110;Kars;minor;0
Kahramanmaraş;37585;36926;Kahramanmaraş;admin;376045
Kâhta;37786;38624;Adıyaman;minor;0
Kale;37439;28845;Denizli;minor;0
Kale;38415;38771;Malatya;minor;0
Kale;40387;39683;Gümüşhane;minor;0
Kalecik;40097;33408;Ankara;minor;0
Kalkan;36265;29414;Antalya;minor;0
Kalkandere;40920;40437;Rize;minor;0
Kalkım;39812;27215;Çanakkale;minor;0
Kaman;39358;33724;Kırşehir;minor;0
Kâmil;41104;34763;Çorum;minor;0
Kamışlı;37555;34947;Adana;minor;0
Kandilli;39906;40837;Erzurum;minor;0
Kandıra;41070;30153;Kocaeli;minor;0
Kangal;39234;37391;Sivas;minor;0
Kanlıavşar;37216;38309;Şanlıurfa;minor;0
Kapaklı;41329;27981;Tekirdağ;minor;0
Kaptanpaşa;40961;40782;Rize;minor;0
Karaağıl;39136;42085;Muş;minor;0
Karabiga;40404;27304;Çanakkale;minor;0
Karabük;41205;32628;Karabük;admin;128564
Karabulduk;40820;38549;Giresun;minor;0
Karaburun;38636;26511;İzmir;minor;0
Karacabey;40213;28361;Bursa;minor;0
Karacadağ;37729;39635;Şanlıurfa;minor;0
Karacaköy;41151;29769;İstanbul;minor;0
Karacaoğlan;41535;27076;Kırklareli;minor;0
Karacaören;39731;38115;Sivas;minor;0
Karacasu;37728;28606;Aydın;minor;0
Karaçay;36136;36077;Hatay;minor;0
Karaçayır;39912;36992;Sivas;minor;0
Karaçoban;39344;42099;Erzurum;minor;0
Karadere;40732;30840;Sakarya;minor;0
Karadirek;38568;30184;Afyonkarahisar;minor;0
Karahallı;38321;29530;Uşak;minor;0
Karahasan;38958;42588;Muş;minor;0
Karahasanlı;39297;34722;Nevşehir;minor;0
Karaisalı;37257;35059;Adana;minor;0
Karakasım;41517;26644;Edirne;minor;0
Karakeçi;37452;39443;Şanlıurfa;minor;0
Karakeçili;39594;33378;Kırıkkale;minor;0
Karakoçan;38952;40027;Elazığ;minor;0
Karaköprü;39315;41965;Erzurum;minor;0
Karaköprü;37204;38799;Şanlıurfa;minor;0
Karaköy;39116;41637;Muş;minor;0
Karaköy;39091;41683;Muş;minor;0
Karakoyunlu;39870;43630;Iğdır;minor;0
Karakurt;40166;42605;Kars;minor;0
Karaman;37181;33215;Karaman;admin;120399
Karamanlı;37373;29823;Burdur;minor;0
Karamürsel;40691;29616;Kocaeli;minor;0
Karaoğlan;39226;39209;Tunceli;minor;0
Karaoğlanlı;38529;27567;Manisa;minor;0
Karaova;37107;27666;Muğla;minor;0
Karapınar;37716;33551;Konya;minor;0
Karapürçek;40642;30539;Sakarya;minor;0
Karaşar;40326;31987;Ankara;minor;0
Karasu;41104;30697;Sakarya;minor;0
Karataş;36562;35381;Adana;minor;0
Karaurgan;40240;42273;Kars;minor;0
Karayaka;40744;36590;Tokat;minor;0
Karayazı;39696;42143;Erzurum;minor;0
Karayün;39682;37305;Sivas;minor;0
Kargı;41134;34487;Çorum;minor;0
Karkamış;36835;37998;Gaziantep;minor;0
Karlıova;39290;41006;Bingöl;minor;0
Karpuzlu;37559;27835;Aydın;minor;0
Kars;40598;43085;Kars;admin;77486
Karşıyaka;38457;27111;İzmir;minor;0
Kartal;40902;29174;İstanbul;minor;0
Kaş;36202;29638;Antalya;minor;0
Kasımlar;37529;31193;Isparta;minor;0
Kastamonu;41378;33775;Kastamonu;admin;70402
Kavacık;39676;28494;Balıkesir;minor;0
Kavak;41078;36043;Samsun;minor;0
Kavak;39292;37481;Sivas;minor;0
Kavakbaşı;38483;41820;Bitlis;minor;0
Kavaklıdere;37445;28363;Muğla;minor;0
Kayacık;38341;40613;Diyarbakır;minor;0
Kayadibi;39480;36712;Sivas;minor;0
Kayapa;39493;27445;Balıkesir;minor;0
Kayapınar;37937;40178;Diyarbakır;minor;0
Kayapınar;37558;41162;Batman;minor;0
Kaymakçı;38168;28115;İzmir;minor;0
Kaymas;40923;30266;Kocaeli;minor;0
Kaymaz;39517;31180;Eskişehir;minor;0
Kaynar;38899;36454;Kayseri;minor;0
Kaynarca;41031;30308;Sakarya;minor;0
Kaynaşlı;40769;31322;Düzce;minor;0
Kaypak;37115;36465;Osmaniye;minor;0
Kayseri;38732;35485;Kayseri;admin;592840
Kazan;40232;32684;Ankara;minor;0
Kazancı;36502;32861;Karaman;minor;0
Kazanlı;36816;34758;Mersin;minor;0
Kazımkarabekir;39916;41281;Erzurum;minor;0
Kazımkarabekir;37230;32959;Karaman;minor;0
Kazımpaşa;40792;30295;Sakarya;minor;0
Keban;38794;38735;Elazığ;minor;0
Keçiborlu;37942;30302;Isparta;minor;0
Keçiören;40007;32856;Ankara;minor;0
Kelekçi;37241;29304;Denizli;minor;0
Keles;39914;29229;Bursa;minor;0
Kelkit;40127;39434;Gümüşhane;minor;0
Kemah;39596;39023;Erzincan;minor;0
Kemaliye;39263;38497;Erzincan;minor;0
Kemalpaşa;41478;41515;Artvin;minor;0
Kemalpaşa;38426;27417;İzmir;minor;0
Kemer;36648;29359;Muğla;minor;0
Kemer;36598;30561;Antalya;minor;0
Kemer;37352;30063;Burdur;minor;0
Kemerburgaz;41159;28916;İstanbul;minor;0
Kemerhisar;37824;34571;Niğde;minor;0
Kepsut;39689;28152;Balıkesir;minor;0
Keşan;40856;26630;Edirne;minor;0
Keşap;40910;38501;Giresun;minor;0
Keskin;39673;33614;Kırıkkale;minor;0
Kestel;40198;29212;Bursa;minor;0
Kiğı;39314;40350;Bingöl;minor;0
Kilimli;41491;31839;Zonguldak;minor;0
Kilis;36716;37115;Kilis;admin;82301
Kiraz;38231;28204;İzmir;minor;0
Kirazlı;40042;26701;Çanakkale;minor;0
Kireç;39555;28365;Balıkesir;minor;0
Kıbrıscık;40408;31852;Bolu;minor;0
Kılbasan;37325;33186;Karaman;minor;0
Kılıç;40633;29395;Yalova;minor;0
Kılıçkaya;40705;41474;Artvin;minor;0
Kınık;39087;27383;İzmir;minor;0
Kırbaşı;40014;31832;Ankara;minor;0
Kırcasalih;41390;26795;Edirne;minor;0
Kırık;40328;40919;Erzurum;minor;0
Kırıkhan;36499;36358;Hatay;minor;0
Kırıkkale;39845;33506;Kırıkkale;admin;211138
Kırka;39279;30526;Eskişehir;minor;0
Kırkağaç;39106;27669;Manisa;minor;0
Kırkgeçit;38136;43494;Van;minor;0
Kırklareli;41735;27225;Kırklareli;admin;58223
Kırmızıköprü;39386;39824;Tunceli;minor;0
Kırobası;36722;33867;Mersin;minor;0
Kırşehir;39146;34164;Kırşehir;admin;94336
Kışlak;35968;36157;Hatay;minor;0
Kışlaköy;40324;42022;Erzurum;minor;0
Kıyıköy;41635;28095;Kırklareli;minor;0
Kızılağaç;38780;41314;Muş;minor;0
Kızılcabölük;37612;29018;Denizli;minor;0
Kızılcadağ;37017;29963;Antalya;minor;0
Kızılcahamam;40470;32651;Ankara;minor;0
Kızılin;37547;38076;Adıyaman;minor;0
Kızılırmak;40346;33986;Çankırı;minor;0
Kızılören;38258;30152;Afyonkarahisar;minor;0
Kızılören;37868;32116;Konya;minor;0
Kızılsu;37454;42196;Şırnak;minor;0
Kızıltepe;37188;40577;Mardin;minor;0
Kızılyaka;36983;29528;Burdur;minor;0
Kocaali;41053;30853;Sakarya;minor;0
Kocaaliler;37317;30740;Burdur;minor;0
Kocaeli;40767;29917;Kocaeli;admin;466504
Kocakoç;39117;39659;Tunceli;minor;0
Kocaköy;38289;40498;Diyarbakır;minor;0
Koçali;37923;38258;Adıyaman;minor;0
Kocapınar;39096;43196;Van;minor;0
Koçarlı;37761;27706;Aydın;minor;0
Kocasinan;38771;35573;Kayseri;minor;0
Kocatepe;37229;40161;Mardin;minor;0
Kofçaz;41945;27158;Kırklareli;minor;0
Kolay;41418;35801;Samsun;minor;0
Kömürlü;40735;42288;Erzurum;minor;0
Konak;38417;27130;İzmir;minor;0
Konakpınar;38906;37297;Sivas;minor;0
Konakpınar;39434;27836;Balıkesir;minor;0
Konuralp;40905;31146;Düzce;minor;0
Konya;37871;32485;Konya;admin;919000
Köprübaşı;41048;35517;Samsun;minor;0
Köprübaşı;38750;28405;Manisa;minor;0
Köprübaşı;40807;40114;Trabzon;minor;0
Köprüköy;39966;41868;Erzurum;minor;0
Köprülü;36732;32185;Antalya;minor;0
Köprüören;39508;29762;Kütahya;minor;0
Körfez;40767;29783;Kocaeli;minor;0
Korgan;40825;37347;Ordu;minor;0
Korgun;40735;33518;Çankırı;minor;0
Korkut;38734;41784;Muş;minor;0
Korkuteli;37065;30196;Antalya;minor;0
Korucu;39470;27365;Balıkesir;minor;0
Köse;40207;39646;Gümüşhane;minor;0
Kösefakılı;39594;34136;Kırşehir;minor;0
Köşk;37853;28052;Aydın;minor;0
Kösreli;37163;35978;Adana;minor;0
Kötek;40219;43002;Kars;minor;0
Kovancılar;38719;39863;Elazığ;minor;0
Kovanlık;40755;38112;Giresun;minor;0
Köyceğiz;36962;28691;Muğla;minor;0
Koyulhisar;40302;37823;Sivas;minor;0
Kozak;39251;27090;İzmir;minor;0
Kozaklı;39221;34851;Nevşehir;minor;0
Kozan;37455;35816;Adana;minor;0
Kozcağız;41483;32333;Bartın;minor;0
Kozlu;41432;31746;Zonguldak;minor;0
Kozlu;40609;36479;Tokat;minor;0
Kozluk;38191;41478;Batman;minor;0
Küçük Yerlisu;40725;26731;Edirne;minor;0
Küçükbahçe;38557;26393;İzmir;minor;0
Küçükçekmece;40996;28775;İstanbul;minor;0
Küçükdere;40807;40055;Trabzon;minor;0
Küçükkuyu;39549;26605;Çanakkale;minor;0
Küçüksu;38439;42319;Bitlis;minor;0
Kula;38547;28650;Manisa;minor;0
Kulp;38498;41007;Diyarbakır;minor;0
Kulu;39095;33080;Konya;minor;0
Kuluncak;38877;37663;Malatya;minor;0
Kumdanlı;38324;30976;Isparta;minor;0
Kumlu;36364;36455;Hatay;minor;0
Kumluca;41447;32468;Bartın;minor;0
Kumluca;36370;30287;Antalya;minor;0
Kumru;40874;37264;Ordu;minor;0
Küplü;40098;30000;Bilecik;minor;0
Küplü;41107;26352;Edirne;minor;0
Küre;41806;33712;Kastamonu;minor;0
Kürecik;38337;37741;Kahramanmaraş;minor;0
Kurşunlu;38653;37851;Malatya;minor;0
Kurşunlu;40841;33260;Çankırı;minor;0
Kurtalan;37925;41685;Siirt;minor;0
Kurthasanlı;38326;32175;Konya;minor;0
Kurtkale;41265;43126;Ardahan;minor;0
Kürtün;40695;39095;Gümüşhane;minor;0
Kurucaşile;41838;32716;Bartın;minor;0
Kuruçay;39640;38474;Erzincan;minor;0
Kuşadası;37856;27257;İzmir;minor;0
Kuşkayası;39061;37079;Sivas;minor;0
Kuşsarayı;38451;38679;Elazığ;minor;0
Kütahya;39424;29983;Kütahya;admin;185008
Kuyucak;37863;38344;Adıyaman;minor;0
Kuyucak;37913;28459;Aydın;minor;0
Kuzucubelen;36840;34438;Mersin;minor;0
Kuzyaka;41232;33723;Kastamonu;minor;0
Laçin;40775;34881;Çorum;minor;0
Ladik;40911;35892;Samsun;minor;0
Lâlapaşa;41840;26736;Edirne;minor;0
Lapseki;40344;26686;Çanakkale;minor;0
Levent;38437;37854;Malatya;minor;0
Lice;38458;40639;Diyarbakır;minor;0
Lüleburgaz;41404;27359;Kırklareli;minor;0
Maçka;40811;39605;Trabzon;minor;0
Maden;38387;39664;Elazığ;minor;0
Maden;40181;40404;Bayburt;minor;0
Maden;40182;40398;Bayburt;minor;0
Mahmudiye;39498;30987;Eskişehir;minor;0
Mahmut Şevket Paşa;41153;29190;İstanbul;minor;0
Mahmutbey;41054;28826;İstanbul;minor;0
Malatya;38350;38317;Malatya;admin;461574
Malazgirt;39146;42535;Muş;minor;0
Malkara;40890;26901;Tekirdağ;minor;0
Mamak;39940;32910;Ankara;minor;0
Manavgat;36787;31443;Antalya;minor;0
Manisa;38612;27426;Manisa;admin;243971
Mansurlu;37849;35654;Adana;minor;0
Manyas;40046;27970;Balıkesir;minor;0
Mardin;37313;40744;Mardin;admin;71373
Marmara;40586;27555;Balıkesir;minor;0
Marmara Ereğlisi;40970;27955;Tekirdağ;minor;0
Marmaris;36855;28274;Muğla;minor;0
Mazgirt;39018;39601;Tunceli;minor;0
Mazıdağı;37478;40482;Mardin;minor;0
Mecidiye;40639;26539;Edirne;minor;0
Mecitözü;40520;35295;Çorum;minor;0
Melikgazi;38750;35450;Kayseri;minor;0
Menderes;38250;27134;İzmir;minor;0
Menemen;38608;27069;İzmir;minor;0
Mengen;40939;32076;Bolu;minor;0
Menteşe;37117;28267;Muğla;minor;0
Meram;37830;32468;Konya;minor;0
Mercimekkale;38929;41503;Muş;minor;0
Meriç;41192;26421;Edirne;minor;0
Mermer;38118;40449;Diyarbakır;minor;0
Mersin;36800;34613;Mersin;admin;32250
Merzifon;40873;35463;Amasya;minor;0
Mesudiye;40454;37774;Ordu;minor;0
Meydan;38356;41769;Bitlis;minor;0
Meydancık;41410;42236;Artvin;minor;0
Mezitli;36745;34523;Mersin;minor;0
Mezraa;41198;35117;Samsun;minor;0
Midyat;37419;41339;Mardin;minor;0
Mihalgazi;40026;30577;Eskişehir;minor;0
Mihalıçcık;39866;31496;Eskişehir;minor;0
Milas;37316;27784;Muğla;minor;0
Mollafeneri;40886;29494;Kocaeli;minor;0
Mollakendi;38577;39333;Elazığ;minor;0
Mordoğan;38516;26624;İzmir;minor;0
Mucur;39061;34383;Kırşehir;minor;0
Mudanya;40375;28882;Bursa;minor;0
Mudurnu;40473;31208;Bolu;minor;0
Muğla;37218;28366;Muğla;admin;48183
Muradiye;38986;43753;Van;minor;0
Muradiye;38660;27338;Manisa;minor;0
Murat;39673;43240;Ağrı;minor;0
Muratlı;41474;41706;Artvin;minor;0
Muratlı;41172;27499;Tekirdağ;minor;0
Mürefte;40669;27241;Nevşehir;minor;0
Murgul;41279;41555;Artvin;minor;0
Mursal;39168;37957;Sivas;minor;0
Mürşitpınar;36903;38347;Şanlıurfa;minor;0
Muş;38732;41485;Muş;admin;82536
Musabeyli;36886;36919;Kilis;minor;0
Musabeyli;39833;34623;Yozgat;minor;0
Mustafakemalpaşa;40038;28409;Bursa;minor;0
Mut;36644;33439;Mersin;minor;0
Mutki;38406;41920;Bitlis;minor;0
Nallıhan;40186;31352;Ankara;minor;0
Narince;37883;38759;Adıyaman;minor;0
Narlı;37391;37136;Kahramanmaraş;minor;0
Narlı;37884;42976;Siirt;minor;0
Narlıdere;38227;41890;Bitlis;minor;0
Narman;40344;41861;Erzurum;minor;0
Nazilli;37916;28322;Aydın;minor;0
Nazimiye;39180;39828;Tunceli;minor;0
Nevşehir;38625;34712;Nevşehir;admin;75527
Niğde;37966;34679;Niğde;admin;91039
Niksar;40592;36952;Tokat;minor;0
Nilüfer;40284;28950;Bursa;minor;0
Nizip;37010;37794;Gaziantep;minor;0
Nurdağı;37168;36736;Gaziantep;minor;0
Nurettin;39229;42418;Muş;minor;0
Nurettin;39281;42507;Muş;minor;0
Nurhak;37964;37440;Kahramanmaraş;minor;0
Nusaybin;37061;41204;Mardin;minor;0
Obruk;38184;33181;Konya;minor;0
Ödemiş;38228;27970;İzmir;minor;0
Of;40941;40259;Trabzon;minor;0
Öğdem;40917;41636;Artvin;minor;0
Oğuz;39506;38884;Erzincan;minor;0
Oğuz;37815;41374;Batman;minor;0
Oğuzeli;36966;37513;Gaziantep;minor;0
Oğuzlar;40754;34703;Çorum;minor;0
Oltu;40539;41987;Erzurum;minor;0
Olur;40822;42131;Erzurum;minor;0
Ömerköy;39831;28067;Balıkesir;minor;0
Ömerli;37399;40954;Mardin;minor;0
Ondokuzmayıs;41501;36069;Samsun;minor;0
Ordu;40978;37871;Ordu;admin;155117
Ören;37036;27967;Muğla;minor;0
Örencik;39263;29544;Kütahya;minor;0
Örenşehir;38998;36649;Kayseri;minor;0
Orhaneli;39903;28991;Bursa;minor;0
Orhangazi;40489;29309;Bursa;minor;0
Ormanlı;41165;31614;Zonguldak;minor;0
Orta;40624;33109;Çankırı;minor;0
Ortabağ;37397;42910;Şırnak;minor;0
Ortaca;36839;28765;Muğla;minor;0
Ortacalar;41279;41379;Artvin;minor;0
Ortakent;40394;38010;Sivas;minor;0
Ortaklar;37888;27502;Aydın;minor;0
Ortaköy;40274;35252;Çorum;minor;0
Ortaköy;41251;41984;Artvin;minor;0
Ortaköy;38737;34039;Aksaray;minor;0
Ortaköy;40973;30677;Sakarya;minor;0
Ortaköy;39422;36234;Sivas;minor;0
Ortyakent Yahşi;37049;27348;Muğla;minor;0
Osmancalı;38763;27253;Manisa;minor;0
Osmancık;40978;34805;Çorum;minor;0
Osmaneli;40357;30014;Bilecik;minor;0
Osmangazi;40226;29044;Bursa;minor;0
Osmaniye;37074;36248;Osmaniye;admin;32250
Osmanpaşa;39625;34965;Yozgat;minor;0
Otlukbeli;39970;40019;Erzincan;minor;0
Ovabağ;37708;39987;Diyarbakır;minor;0
Ovacık;37513;38779;Şanlıurfa;minor;0
Ovacık;40200;40997;Erzurum;minor;0
Ovacık;41077;32920;Karabük;minor;0
Ovacık;36171;33556;Mersin;minor;0
Ovacık;39353;39209;Tunceli;minor;0
Ovacuma;41448;32754;Karabük;minor;0
Ovakent;38107;28021;İzmir;minor;0
Ovakışla;38817;42316;Bitlis;minor;0
Oyalı;37221;41739;Mardin;minor;0
